,review,bank_name,Place
0,"I have applied for YES bank credit card through online and the agent gave me the details for the credit card .I have taken the card because its a life time free card. The credit limit was not sufficient but it was manageable, I used this card for domestic ticket booking, bill payment and many other purposes.I got my card statement on time. I am satisfied with the service.",YES Bank,bangalore
1,"When i first used the YES bank credit it was fine but later on it was not working properly it always show some issue,the card limit is only 65000 which i am not happy.I used this card for shopping,electricity bill payment,ticket booking and more.Due to some issues  on the card i could not pay my bill on time.",YES Bank,bangalore
2,"I got a credit card offer from YES bank through online. They called  me on time for further verification, the process was smooth hence I received the card  within 5 days. The credit limit is sufficient. Since they provide more offers so chosen this card. They given one plus one free movie tickets offer. Mostly I use this card for filling petrol and an online shopping. ",YES Bank,kochi
3,"I have availed YES bank credit card for fuel and shopping as well as  for my personal use. I get 2movie tickets are free and monthly 100% cash back offers are avail ,using for the past 1 month i have not used movie ticket offers yet .The credit limit was very  less it was only 56000.I have got the credit card  on delay  basis it took extra 2 days of time since  delayed by courier person.",YES Bank,ahmedabad
4,"I have applied YES bank credit card via online. I have used it for the last two months, I usually used it for personal basis and the card  limit is Rs.18,000 but overall the customer service is good and I would recommend this card to others as well.",YES Bank,kochi
5,I am unable to use YES bank credit card is not working and showing bank server problem wherever using it getting this information.The credit limit  was less and this was a  life time free card and this credit card was delivered  on time everything was good so far. I am  not satisfied with the service.,YES Bank,bangalore
6,"YES bank service is good, I have been holding saving  account for more than 4 years  but  past two years I am not using  this account , because I forget net banking details if I contact the customer care there is no response so stop using this account itself. ATM and branches services are good.  I use to get alert message on time. ",review,hyderabad
7,"I am unable to do transaction by using YES  bank card for just few days before but as of now that issue was sort out.  I taken this card on 6-8 months back. I am not yet used this card much. There is no annual fee chargeable. The  credit limit is not sufficient of 15K. The cash limit is there only 5K , not found any best to use the card normally I will be using whenever get offers.  ",YES Bank,bangalore
8,"YES bank credit card,  i am using for the past 25-30 days. I have not used still now and i don't know about the  features, bank condition is not active right now. Through representative i have  its pretty easy to apply this credit card since its a new card i don't about the card benefits.",YES Bank,jaipur
9,"YES Bank people is not professional, actually I have applied for card to card process which doesn't required any documentation except the existing card statements but here they have been asking me Aadhar card, payslip, home agreement and etc which am not interested to provide hence it was cancelled.",YES Bank,bangalore
10,I am holding YES Bank credit card for past 4 months which was applied via other channel. The process was done on time and without any issue have received the card. It is a  life time free card and the credit limit was 35K. I swipe this card for all purposes and it works fine.,YES Bank,hyderabad
11,"YES bank card is closed by RBI for some reason and offers are there like booking tickets and auto debit option for my fund to pay the monthly bill. As per my experience, the card is good. There is no delay in processing the card. Its quite comfortable to make the payment. I don't receive any promotional calls regarding the offers. ",YES Bank,bangalore
12,"Last 7 years, i have been using the salary account from YES bank and its a hassle free account to use. They are not taking any hidden charges. Once i called the customer care for the debit card purpose and the response was good. There is no extra charges for fund transfer like IMPS and NEFT. Their mobile banking service need to be improved.",review,nasik
13,"I have a credit card from YES bank but due to the crisis i am unable to use the card in online and offline purchases whenever i do the transactions, it shows declined. For the dining and 1+1 movie tickets, reward points purpose, i have chosen this card. They have given me a credit limit of Rs. 30000. Its a zero annual fee credit card. ",YES Bank,hyderabad
14,My YES Bank credit card is not working since that bank has some problem. I made out standing payment Rs. 62k and they given a good credit limit and also its a free card. Earlier i use to get end number of calls from bank side for EMI conversion that was very irritated.,YES Bank,chennai
15,"Recently i have purchased the credit card from YES bank which have availed online. 7 days before i have received the card due to YES bank crisis issue, I'm unable to use this card in all the POS machines. Within a week, they have completed the entire process of getting a credit card. There is no yearly charges for this card. ",YES Bank,chennai
16,I have Yes bank credit card which is having very less credit limit which they need to improve .This was a life time free card and the agent shared all the relevant details about the card process. I am using it for the past 20 days and it was a hassle free process.,YES Bank,rajkot
17,The rate of interest was little bit higher in YES Bank credit card. They given a good credit limit and i am using this card for shopping purpose. EMI facility is available and the documentation was simple and good within a week i received this card. YES Bank has a good customer service. ,YES Bank,bangalore
